"","rf.mae","hrf_nls_1.mae","hrf_nls_2.mae","wrf.mae","crf.mae","owrf.mae","ridge.mae","ridge_second.mae"
"ASN",2.94270272084043,2.1171702536179,1.75223848287435,2.84150458225529,2.54968053901974,2.59174465571535,1.49140766197896,6.60833672450504
"CCPP",2.46890118477492,2.42467595255282,2.4005391104299,2.45171151981678,2.41481855013219,2.87009840108311,2.39856163607297,2.59959460221459
"CCS",4.21874572467859,3.7906627885054,3.57080281473175,4.13227154846608,3.97598400147038,4.62712455047396,3.59747711723934,6.52301694840696
"CST",3.29000098365975,2.82300154731156,2.63909140241346,3.15269068854376,3.02777727548181,2.89618548539637,2.58821729318892,2.72954668469712
"EE",0.881789910056917,0.442749670231299,0.364087191115969,0.505716178878456,0.64953766394168,0.530236282511885,1.12087624976996,0.640082662995616
"PT",3.15082129636953,2.20270166417201,1.90511092901463,2.8752321684186,2.66735396788773,2.79576857348589,1.89453959433175,2.37454822369739
"QSAR",0.817571017244297,0.820203350629366,0.822377399461266,0.816439716888208,0.810865664608889,0.844298461554958,1.48688029574625,1.30598390566234
"SM",0.011966786347362,0.0076099804709314,0.00558610657152304,0.00906960530491131,0.0102183612732858,0.00914854261363262,0.00806358690136571,0.00742812172240993
"YH",2.60476839073428,0.672268899678947,0.502973528642514,0.927098725362987,1.43311247622821,0.784438623227338,0.794962548306104,0.891409301847665
"housing",2.24461180906994,2.1879626346144,2.15001159613506,2.22965887754522,2.20836771185142,2.29139597101689,2.76522066927946,2.78771028231513
"servo",0.533528474384569,0.457338319791858,0.409776342666383,0.477173298864532,0.471573941501476,0.459317533535218,0.39727184016593,0.436916921415679
"tecator",5.95676134771296,5.63323558132363,5.36519994266378,5.91580457705316,5.83604336882687,5.91500501276307,5.10270318833478,6.9039632595059
